Zona,Tipo de Trabalho,Nº de vagas
Porto,Software Engineer – Salesforce Developer,1
Porto,Software Engineer – Senior Java Developer,1
Porto,Solution Architect - IAM/CIAM & Identity Platforms,1
Porto,Suporte 1ª Linha,1
Porto,Support Analyst,1
Porto,Support Consultant (Internal Control),1
Porto,System Administrator Linux,1
Porto,System Engineer - DevOps,1
Porto,Sénior .Net Developer,1
Porto,Sénior Java Developer,1
Porto,T-SQL Developer,1
Porto,TIBCO BWCE Specialist,1
Porto,Team Lead Salesforce,1
Porto,Tech Lead,1
Porto,Tech Recruiter,1
Porto,Tech Solutions Architect,1
Porto,Technical Program Manager,1
Porto,Technical Release Manager,1
Porto,Tester,1
Porto,Tester (Outsystems),1
Porto,Técnico de Comunicações (telecomunicações),1
Porto,Técnico de Suporte de 1.º Linha - Sénior,1
Porto,Técnico de Suporte de IT,1
Porto,Técnico(a) de Suporte,1
Porto,UI/UX Designer,1
Porto,UX/UI Consultant,1
Porto,Web Developer (Angular),1
Porto,Web Ecommerce Product Owner,1
Porto,iOS Developer,2
Porto, MS Dynamics CRM CE Functional Consultant ,1
Porto,​​​​​​​Infrastructure Engineer - AWS Cloud Engineer,1
Porto,​​​​​​​Infrastructure Engineer - Azure Cloud Engineer,1
Santarém,Account Manager,1
Santarém,Especialista de Redes e Datacenter,1
Santarém,Power Platform Developer,1
Setúbal,Agile Functional Analyst ,1
Setúbal,Android Developer,1
Setúbal,Business Analyst- Product Experience,1
Setúbal,Cobol Developer,1
Setúbal,DBA,1
Setúbal,Data Analyst,1
Setúbal,DevOps Engineer,1
Setúbal,Especialista de Redes e Datacenter,1
Setúbal,Fullstack Developer - .NET & ReactJS,1
Setúbal,Java Developer,1
Setúbal,Junior IT Consultant,1
Setúbal,Junior Tech Consultant (Open to All Sciences & Engineering),1
Setúbal,Kubernetes Engineer,1
Setúbal,Mid Cloud Engineer,1
Setúbal,Performance Tech Lead,1
Setúbal,Power Platform Developer,1
Setúbal,Security Engineer,1
Setúbal,Senior Cloud Enginner,1
Setúbal,Senior Database Administrator,1
Setúbal,Senior Java Developer (API & Microservices),1
Setúbal,Technical Team Lead,1
Setúbal,iOS Developer,1
Viana do Castelo,Cloud  Architect,1
Viana do Castelo,Cloud Solutions Architect,1
Viana do Castelo,Data Engineer,1
Viana do Castelo,Delivery Manager,1
Viana do Castelo,Frontend Developer,1
Viana do Castelo,Frontend Engineer (Vue.js),1
Viana do Castelo,Full Stack Developer - Nível QNQ 6,1
Viana do Castelo,Gestor Júnior Comercial,1
Viana do Castelo,Java Backend Developer,1
Viana do Castelo,Microsoft Tech Lead,1
Viana do Castelo,Platform Engineer,1
Viana do Castelo,Power Platform Developer,2
Vila Real,Power Platform Developer,1
Vila Real,Support Engineer,1
Viseu,JAVA Developer,1
Viseu,Power Platform Developer,1
Viseu,Recém-Licenciado / Mestre em Engenharia Informática,1
Viseu,Recém-Mestre,1
Viseu,Software Engineer – Java Developer,1
Viseu,Web Developer (Angular),1
Évora,Power Platform Developer,1
